,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2031",Years Remaining 123459,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Aitor Fernández,"€ 28,846","€ 1,500,000",,"Jul 2, 2022","Jun 30, 2025",3,"€ 4,500,000","€ 14,000,000",K,GK,31,Starter,Spain,,,Osasuna,La Liga,2022-2023
1,Chimy Ávila,"€ 28,846","€ 1,500,000",,"Mar 15, 2022","Jun 30, 2026",4,"€ 6,000,000",,F,CF,28,Starter,Argentina,,,Osasuna,La Liga,2022-2023
2,Rubén García,"€ 25,962","€ 1,350,000",,"Oct 7, 2020","Jun 30, 2024",2,"€ 2,700,000",,F,LW,29,Reserve,Spain,,,Osasuna,La Liga,2022-2023
3,Manu Sánchez,"€ 24,231","€ 1,260,000",,"Jul 27, 2022","Jun 30, 2023",1,"€ 1,260,000",,D,LB,22,Starter,Spain,,,Osasuna,La Liga,2022-2023
4,Moi Gómez,"€ 22,115","€ 1,150,000",,"Jul 28, 2022","Jun 30, 2027",5,"€ 5,750,000","€ 20,000,000",F,LW,28,Starter,Spain,,,Osasuna,La Liga,2022-2023
5,Unai García,"€ 21,923","€ 1,140,000",,"Dec 7, 2022","Jun 30, 2025",3,"€ 3,420,000","€ 20,000,000",D,CB,30,Reserve,Spain,,,Osasuna,La Liga,2022-2023
6,Nacho Vidal,"€ 19,423","€ 1,010,000",,"Jul 20, 2021","Jun 30, 2025",3,"€ 3,030,000",,D,RB,28,Reserve,Spain,,,Osasuna,La Liga,2022-2023
7,Juan Cruz,"€ 18,462","€ 960,000",,"Dec 13, 2022","Jun 30, 2026",4,"€ 3,840,000","€ 15,000,000",D,LB,30,Starter,Spain,,,Osasuna,La Liga,2022-2023
8,Sergio Herrera,"€ 18,269","€ 950,000",,"Dec 8, 2021","Jun 30, 2023",1,"€ 950,000",,K,GK,29,Reserve,Spain,,,Osasuna,La Liga,2022-2023
9,Darko Brasanac,"€ 14,808","€ 770,000",,"Jan 16, 2021","Jun 30, 2023",1,"€ 770,000",,M,CM,30,Reserve,Serbia,,,Osasuna,La Liga,2022-2023
10,Rubén Peña,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,160,000",,D,RB,31,Reserve,Spain,,,Osasuna,La Liga,2022-2023
11,Kike García,"€ 12,308","€ 640,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 1,280,000",,F,CF,33,Reserve,Spain,,,Osasuna,La Liga,2022-2023
12,Ante Budimir,"€ 12,115","€ 630,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 1,890,000",,F,CF,31,Starter,Croatia,,,Osasuna,La Liga,2022-2023
13,David García,"€ 11,923","€ 620,000",,"May 3, 2021","Jun 30, 2026",4,"€ 2,480,000",,D,CB,28,Reserve,Spain,,,Osasuna,La Liga,2022-2023
14,Aridane Hernández,"€ 11,731","€ 610,000",,"Jul 20, 2020","Jun 30, 2023",1,"€ 610,000",,D,CB,33,Starter,Spain,,,Osasuna,La Liga,2022-2023
15,Jon Moncayola,"€ 9,615","€ 500,000",,"Jun 8, 2021","Jun 30, 2031",9,"€ 4,500,000",,M,CM,24,Starter,Spain,,,Osasuna,La Liga,2022-2023
16,Kike Barja,"€ 8,846","€ 460,000",,"Dec 13, 2021","Jun 30, 2026",4,"€ 1,840,000",,F,RW,25,Starter,Spain,,,Osasuna,La Liga,2022-2023
17,Lucas Torró,"€ 8,654","€ 450,000",,"Jun 9, 2022","Jun 30, 2027",5,"€ 2,250,000",,M,DM,28,Starter,Spain,,,Osasuna,La Liga,2022-2023
18,Aimar Oroz,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,440,000",,F,AM,21,Reserve,Spain,,,Osasuna,La Liga,2022-2023
19,Pablo Ibáñez,"€ 3,462","€ 180,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 360,000",,M,CM,24,Starter,Spain,,,Osasuna,La Liga,2022-2023
20,Abde Ezzalzouli,"€ 3,462","€ 180,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 180,000",,F,LW,21,Reserve,Morocco,,,Osasuna,La Liga,2022-2023
21,Total,"€ 325,770","€ 16,940,000",€ 0,,,,"€ 51,210,000","€ 69,000,000",,,,,,,,Osasuna,La Liga,2022-2023
