,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029",Years Remaining 1234567,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Nabil Fekir,"€ 132,692","€ 6,900,000",,"Jan 12, 2022","Jun 30, 2026",4,"€ 27,600,000",,F,AM,29,Reserve,France,,,Real Betis,La Liga,2022-2023
1,Luiz Felipe,"€ 112,115","€ 5,830,000",,"Jul 4, 2022","Jun 30, 2027",5,"€ 29,150,000",,D,CB,25,Reserve,Italy,,,Real Betis,La Liga,2022-2023
2,Germán Pezzella,"€ 80,192","€ 4,170,000",,"Aug 19, 2021","Jun 30, 2025",3,"€ 12,510,000",,D,CB,31,Starter,Argentina,,,Real Betis,La Liga,2022-2023
3,Willian José,"€ 57,692","€ 3,000,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 12,000,000",,F,CF,31,Reserve,Brazil,,,Real Betis,La Liga,2022-2023
4,Juanmi,"€ 53,077","€ 2,760,000",,"Jan 3, 2023","Jun 30, 2026",4,"€ 11,040,000",,F,LW,29,Starter,Spain,,,Real Betis,La Liga,2022-2023
5,Guido Rodríguez,"€ 51,538","€ 2,680,000",,"Jan 14, 2020","Jun 30, 2024",2,"€ 5,360,000",,M,DM,28,Starter,Argentina,,,Real Betis,La Liga,2022-2023
6,Ayoze Pérez,"€ 50,000","€ 2,600,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 2,600,000",,F,SS,29,Reserve,Spain,,,Real Betis,La Liga,2022-2023
7,Martín Montoya,"€ 38,269","€ 1,990,000",,"Aug 25, 2020","Jun 30, 2024",2,"€ 3,980,000",,D,RB,31,Reserve,Spain,,,Real Betis,La Liga,2022-2023
8,Andrés Guardado,"€ 36,731","€ 1,910,000",,"Mar 24, 2022","Jun 30, 2023",1,"€ 1,910,000",,M,CM,36,Starter,Mexico,,,Real Betis,La Liga,2022-2023
9,William Carvalho,"€ 33,654","€ 1,750,000",,"Sep 2, 2022","Jun 30, 2026",4,"€ 7,000,000",,M,DM,30,Reserve,Portugal,,,Real Betis,La Liga,2022-2023
10,Claudio Bravo,"€ 30,769","€ 1,600,000",,"Apr 5, 2022","Jun 30, 2023",1,"€ 1,600,000",,K,GK,39,Reserve,Chile,,,Real Betis,La Liga,2022-2023
11,Joaquín,"€ 27,692","€ 1,440,000",,"Jul 6, 2022","Jun 30, 2023",1,"€ 1,440,000",,F,RW,41,Reserve,Spain,,,Real Betis,La Liga,2022-2023
12,Sergio Canales,"€ 26,346","€ 1,370,000",,"Dec 14, 2021","Jun 30, 2026",4,"€ 5,480,000",,F,AM,31,Starter,Spain,,,Real Betis,La Liga,2022-2023
13,Borja Iglesias,"€ 24,808","€ 1,290,000",,"Dec 27, 2021","Jun 30, 2026",4,"€ 5,160,000",,F,CF,30,Starter,Spain,,,Real Betis,La Liga,2022-2023
14,Víctor Ruiz,"€ 17,885","€ 930,000",,"Jun 4, 2021","Jun 30, 2023",1,"€ 930,000",,D,CB,34,Reserve,Spain,,,Real Betis,La Liga,2022-2023
15,Youssouf Sabaly,"€ 14,423","€ 750,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 3,000,000",,D,RB,29,Starter,Senegal,,,Real Betis,La Liga,2022-2023
16,Paul Akouokou,"€ 9,808","€ 510,000",,"Sep 10, 2020","Jun 30, 2024",2,"€ 1,020,000",,M,DM,25,Reserve,Cote d'Ivoire,,,Real Betis,La Liga,2022-2023
17,Luiz Henrique,"€ 9,231","€ 480,000",,"Jul 1, 2022","Jun 30, 2028",6,"€ 2,880,000",,F,RW,22,Reserve,Brazil,,,Real Betis,La Liga,2022-2023
18,Aitor Ruibal,"€ 8,462","€ 440,000",,"Jun 9, 2021","Jun 30, 2025",3,"€ 1,320,000",,D,RB,26,Reserve,Spain,,,Real Betis,La Liga,2022-2023
19,Rodri,"€ 7,692","€ 400,000",,"Jan 19, 2022","Jun 30, 2026",4,"€ 1,600,000",,F,LW,22,Starter,Spain,,,Real Betis,La Liga,2022-2023
20,Juan Miranda,"€ 6,923","€ 360,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 720,000",,D,LB,23,Reserve,Spain,,,Real Betis,La Liga,2022-2023
21,Dani Martín,"€ 6,731","€ 350,000",,"Jul 18, 2019","Jun 30, 2024",2,"€ 700,000",,K,GK,24,Reserve,Spain,,,Real Betis,La Liga,2022-2023
22,Edgar González,"€ 4,808","€ 250,000",,"Mar 29, 2022","Jun 30, 2025",3,"€ 750,000",,D,CB,25,Starter,Spain,,,Real Betis,La Liga,2022-2023
23,Rui Silva,"€ 2,981","€ 155,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 620,000",,K,GK,28,Starter,Portugal,,,Real Betis,La Liga,2022-2023
24,Abner,€ 0,€ 0,,"Jan 15, 2023","Jun 30, 2029",7,€ 0,,D,LB,22,Starter,Brazil,,,Real Betis,La Liga,2022-2023
25,Juan Cruz,€ 0,€ 0,,"Oct 21, 2022","Jun 30, 2025",3,€ 0,,F,RW,22,Reserve,Spain,,,Real Betis,La Liga,2022-2023
26,Total,"€ 844,519","€ 43,915,000",€ 0,,,,"€ 140,370,000",€ 0,,,,,,,,Real Betis,La Liga,2022-2023
