,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMGKLBRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Pierre Lees-Melou,"€ 39,231","€ 2,040,000",,"Jul 23, 2022","Jun 30, 2025",3,"€ 6,120,000",,M,CM,29,Starter,France,,,Brest,Ligue 1,2022-2023
1,Steve Mounié,"€ 16,154","€ 840,000",,"Sep 9, 2020","Jun 30, 2024",2,"€ 1,680,000",,F,CF,28,Starter,Benin,,,Brest,Ligue 1,2022-2023
2,Christophe Hérelle,"€ 12,692","€ 660,000",,"Aug 11, 2020","Jun 30, 2024",2,"€ 1,320,000",,D,CB,30,Starter,Martinique,,,Brest,Ligue 1,2022-2023
3,Franck Honorat,"€ 11,538","€ 600,000",,"Jul 1, 2020","Jun 30, 2025",3,"€ 1,800,000",,F,RW,26,Reserve,France,,,Brest,Ligue 1,2022-2023
4,Marco Bizot,"€ 10,385","€ 540,000",,"Aug 4, 2021","Jun 30, 2024",2,"€ 1,080,000",,K,GK,31,Starter,Netherlands,,,Brest,Ligue 1,2022-2023
5,Brendan Chardonnet,"€ 10,385","€ 540,000",,"Oct 1, 2021","Jun 30, 2025",3,"€ 1,620,000",,D,CB,28,Reserve,France,,,Brest,Ligue 1,2022-2023
6,Romain Del Castillo,"€ 10,385","€ 540,000",,"Aug 31, 2021","Jun 30, 2024",2,"€ 1,080,000",,M,RM,26,Reserve,France,,,Brest,Ligue 1,2022-2023
7,Haris Belkebla,"€ 10,385","€ 540,000",,"Sep 5, 2020","Jun 30, 2023",1,"€ 540,000",,M,CM,29,Reserve,Algeria,,,Brest,Ligue 1,2022-2023
8,Mathias Pereira Lage,"€ 9,808","€ 510,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,530,000",,M,RM,26,Reserve,France,,,Brest,Ligue 1,2022-2023
9,Achraf Dari,"€ 9,231","€ 480,000",,"Jul 29, 2022","Jun 30, 2026",4,"€ 1,920,000",,D,CB,23,Starter,Morocco,,,Brest,Ligue 1,2022-2023
10,Jérémy Le Douaron,"€ 6,923","€ 360,000",,"Oct 27, 2022","Jun 30, 2026",4,"€ 1,440,000",,F,CF,24,Starter,France,,,Brest,Ligue 1,2022-2023
11,Mahdi Camara,"€ 5,769","€ 300,000",,"Aug 26, 2022","Jun 30, 2023",1,"€ 300,000",,M,CM,24,Starter,France,,,Brest,Ligue 1,2022-2023
12,Jean-Kévin Duverne,"€ 4,231","€ 220,000",,"Sep 2, 2019","Jun 30, 2023",1,"€ 220,000",,D,CB,25,Reserve,France,,,Brest,Ligue 1,2022-2023
13,Noah Fadiga,"€ 4,038","€ 210,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 840,000",,D,RB,23,Reserve,Senegal,,,Brest,Ligue 1,2022-2023
14,Alberth Elis,"€ 3,846","€ 200,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 200,000",,F,RW,26,Starter,Honduras,,,Brest,Ligue 1,2022-2023
15,Joaquín Blázquez,"€ 2,308","€ 120,000",,"Jul 27, 2022","Jun 30, 2023",1,"€ 120,000",,K,GK,22,Reserve,Argentina,,,Brest,Ligue 1,2022-2023
16,Lilian Brassier,"€ 1,731","€ 90,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 180,000",,D,CB,23,Starter,France,,,Brest,Ligue 1,2022-2023
17,Taïryk Arconte,"€ 1,154","€ 60,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 240,000",,F,RW,19,Reserve,France,,,Brest,Ligue 1,2022-2023
18,Karamoko Dembélé,"€ 1,154","€ 60,000",,"Jul 5, 2022","Jun 30, 2026",4,"€ 240,000",,F,RW,19,Reserve,England,,,Brest,Ligue 1,2022-2023
19,Hugo Magnetti,€ 962,"€ 50,000",,"Dec 12, 2022","Jun 30, 2026",4,"€ 200,000",,M,CM,24,Starter,France,,,Brest,Ligue 1,2022-2023
20,Félix Lemaréchal,€ 962,"€ 50,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 50,000",,M,CM,19,Reserve,France,,,Brest,Ligue 1,2022-2023
21,Bradley Locko,€ 769,"€ 40,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 40,000",,D,LB,20,Reserve,France,,,Brest,Ligue 1,2022-2023
22,Grégoire Coudert,€ 577,"€ 30,000",,"Jul 5, 2021","Jun 30, 2023",1,"€ 30,000",,K,GK,23,Reserve,France,,,Brest,Ligue 1,2022-2023
23,Josué Escartin,€ 0,€ 0,,"Aug 9, 2022","Jun 30, 2025",3,€ 0,,D,CB,19,Reserve,France,,,Brest,Ligue 1,2022-2023
24,Loïc Rémy,€ 0,€ 0,,"Feb 1, 2023","Jun 30, 2023",1,€ 0,,F,CF,36,Reserve,France,,,Brest,Ligue 1,2022-2023
25,Kenny Lala,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2023",1,€ 0,,D,RB,31,Starter,France,,,Brest,Ligue 1,2022-2023
26,Total,"€ 174,618","€ 9,080,000",€ 0,,,,"€ 22,790,000",€ 0,,,,,,,,Brest,Ligue 1,2022-2023
