,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRB,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Maxime Gonalons,"€ 15,000","€ 780,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,560,000",,M,DM,33,Reserve,France,,,Clermont,Ligue 1,2022-2023
1,Jérémie Bela,"€ 12,692","€ 660,000",,"Aug 2, 2022","Jun 30, 2024",2,"€ 1,320,000",,F,LW,29,Reserve,Angola,,,Clermont,Ligue 1,2022-2023
2,Johan Gastien,"€ 10,385","€ 540,000",,"Aug 11, 2022","Jun 30, 2025",3,"€ 1,620,000",,M,DM,35,Reserve,France,,,Clermont,Ligue 1,2022-2023
3,Maximiliano Caufriez,"€ 10,192","€ 530,000",,"Aug 29, 2022","Jun 30, 2023",1,"€ 530,000",,D,CB,25,Starter,Belgium,,,Clermont,Ligue 1,2022-2023
4,Neto Borges,"€ 8,654","€ 450,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 900,000",,D,LB,26,Starter,Brazil,,,Clermont,Ligue 1,2022-2023
5,Florent Ogier,"€ 8,077","€ 420,000",,"Jul 13, 2022","Jun 30, 2024",2,"€ 840,000",,D,CB,33,Starter,France,,,Clermont,Ligue 1,2022-2023
6,Mory Diaw,"€ 6,346","€ 330,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 660,000",,K,GK,29,Starter,Senegal,,,Clermont,Ligue 1,2022-2023
7,Alidu Seidu,"€ 5,769","€ 300,000",,"Oct 19, 2022","Jun 30, 2027",5,"€ 1,500,000",,D,CB,22,Reserve,Ghana,,,Clermont,Ligue 1,2022-2023
8,Grejohn Kyei,"€ 5,769","€ 300,000",,"Jun 28, 2022","Jun 30, 2024",2,"€ 600,000",,F,CF,27,Starter,France,,,Clermont,Ligue 1,2022-2023
9,Komnen Andric,"€ 5,769","€ 300,000",,"Jul 15, 2022","Jun 30, 2025",3,"€ 900,000",,F,CF,27,Starter,Serbia,,,Clermont,Ligue 1,2022-2023
10,Mateusz Wieteska,"€ 5,192","€ 270,000",,"Jul 25, 2022","Jun 30, 2026",4,"€ 1,080,000",,D,CB,25,Starter,Poland,,,Clermont,Ligue 1,2022-2023
11,Muhammed Cham,"€ 5,192","€ 270,000",,"Aug 17, 2022","Jun 30, 2026",4,"€ 1,080,000",,F,AM,22,Starter,Austria,,,Clermont,Ligue 1,2022-2023
12,Mehdi Zeffane,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 480,000",,D,RB,30,Reserve,Algeria,,,Clermont,Ligue 1,2022-2023
13,Yohann Magnin,"€ 3,462","€ 180,000",,"Jul 15, 2022","Jun 30, 2025",3,"€ 540,000",,M,DM,25,Starter,France,,,Clermont,Ligue 1,2022-2023
14,Elbasan Rashani,"€ 2,692","€ 140,000",,"Jul 16, 2021","Jun 30, 2025",3,"€ 420,000",,F,LW,29,Reserve,Kosovo,,,Clermont,Ligue 1,2022-2023
15,Jim Allevinah,"€ 2,500","€ 130,000",,"Aug 11, 2021","Jun 30, 2024",2,"€ 260,000",,F,LW,27,Starter,Gabon,,,Clermont,Ligue 1,2022-2023
16,Saîf-Eddine Khaoui,"€ 1,923","€ 100,000",,"Aug 14, 2021","Jun 30, 2023",1,"€ 100,000",,F,AM,27,Starter,Tunisia,,,Clermont,Ligue 1,2022-2023
17,Baïla Diallo,"€ 1,923","€ 100,000",,"Jan 22, 2021","Jun 30, 2024",2,"€ 200,000",,D,LB,21,Reserve,Senegal,,,Clermont,Ligue 1,2022-2023
18,Oliver Kamdem,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 50,000",,D,RB,20,Reserve,France,,,Clermont,Ligue 1,2022-2023
19,Lucas Margueron,€ 577,"€ 30,000",,"Jul 2, 2020","Jun 30, 2023",1,"€ 30,000",,K,GK,21,Reserve,France,,,Clermont,Ligue 1,2022-2023
20,Souleymane Cissé,€ 577,"€ 30,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 30,000",,D,CB,20,Reserve,France,,,Clermont,Ligue 1,2022-2023
21,Yanis Massolin,€ 577,"€ 30,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 90,000",,M,CM,20,Reserve,France,,,Clermont,Ligue 1,2022-2023
22,Ouparine Djoco,€ 385,"€ 20,000",,"Dec 21, 2020","Jun 30, 2025",3,"€ 60,000",,K,GK,24,Reserve,France,,,Clermont,Ligue 1,2022-2023
23,Total,"€ 119,230","€ 6,200,000",€ 0,,,,"€ 14,850,000",€ 0,,,,,,,,Clermont,Ligue 1,2022-2023
