,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jordan Pickford,"£ 125,000","£ 6,500,000",,"Sep 26, 2018","Jun 30, 2027",5,"£ 32,500,000",,K,GK,28,Starter,England,,,Everton,Premier League,2022-2023
1,Alex Iwobi,"£ 120,000","£ 6,240,000",,"Aug 8, 2019","Jun 30, 2024",2,"£ 12,480,000",,F,AM,26,Starter,Nigeria,,,Everton,Premier League,2022-2023
2,Abdoulaye Doucouré,"£ 120,000","£ 6,240,000",,"Sep 8, 2020","Jun 30, 2023",1,"£ 6,240,000",,M,CM,30,Starter,Mali,,,Everton,Premier League,2022-2023
3,Yerry Mina,"£ 120,000","£ 6,240,000",,"Aug 9, 2018","Jun 30, 2023",1,"£ 6,240,000",,D,CB,28,Reserve,Colombia,,,Everton,Premier League,2022-2023
4,Amadou Onana,"£ 100,000","£ 5,200,000",,"Aug 9, 2022","Jun 30, 2027",5,"£ 26,000,000",,M,DM,21,Starter,Belgium,,,Everton,Premier League,2022-2023
5,James Tarkowski,"£ 100,000","£ 5,200,000",,"Jul 2, 2022","Jun 30, 2026",4,"£ 20,800,000",,D,CB,30,Starter,England,,,Everton,Premier League,2022-2023
6,Dominic Calvert-Lewin,"£ 100,000","£ 5,200,000",,"Mar 6, 2020","Jun 30, 2025",3,"£ 15,600,000",,F,CF,25,Starter,England,,,Everton,Premier League,2022-2023
7,Idrissa Gueye,"£ 80,000","£ 4,160,000",,"Sep 1, 2022","Jun 30, 2024",2,"£ 8,320,000",,M,CM,33,Starter,Senegal,,,Everton,Premier League,2022-2023
8,Michael Keane,"£ 80,000","£ 4,160,000",,"Aug 30, 2020","Jun 30, 2025",3,"£ 12,480,000",,D,CB,30,Reserve,England,,,Everton,Premier League,2022-2023
9,Ben Godfrey,"£ 75,000","£ 3,900,000",,"Oct 5, 2020","Jun 30, 2025",3,"£ 11,700,000",,D,CB,25,Reserve,England,,,Everton,Premier League,2022-2023
10,Mason Holgate,"£ 70,000","£ 3,640,000","£ 1,040,000","Mar 3, 2020","Jun 30, 2025",3,"£ 10,920,000",,D,CB,26,Reserve,England,,,Everton,Premier League,2022-2023
11,Vitaliy Mykolenko,"£ 58,000","£ 3,016,000",,"Jan 1, 2022","Jun 30, 2026",4,"£ 12,064,000",,D,LB,23,Starter,Ukraine,,,Everton,Premier League,2022-2023
12,Seamus Coleman,"£ 55,000","£ 2,860,000",,"Jul 28, 2021","Jun 30, 2023",1,"£ 2,860,000",,D,RB,34,Starter,Ireland,,,Everton,Premier League,2022-2023
13,Conor Coady,"£ 55,000","£ 2,860,000",,"Aug 8, 2022","Jun 30, 2023",1,"£ 2,860,000",,D,CB,29,Starter,England,,,Everton,Premier League,2022-2023
14,Neal Maupay,"£ 50,000","£ 2,600,000",,"Aug 26, 2022","Jun 30, 2025",3,"£ 7,800,000",,F,CF,26,Reserve,France,,,Everton,Premier League,2022-2023
15,Asmir Begovic,"£ 45,000","£ 2,340,000",,"Jun 10, 2022","Jun 30, 2023",1,"£ 2,340,000",,K,GK,35,Reserve,Bosnia-Herzegovina,,,Everton,Premier League,2022-2023
16,Andros Townsend,"£ 40,000","£ 2,080,000",,"Jul 20, 2021","Jun 30, 2023",1,"£ 2,080,000",,F,RW,31,Reserve,England,,,Everton,Premier League,2022-2023
17,James Garner,"£ 30,000","£ 1,560,000",,"Sep 1, 2022","Jun 30, 2026",4,"£ 6,240,000",,M,DM,21,Reserve,England,,,Everton,Premier League,2022-2023
18,Nathan Patterson,"£ 28,000","£ 1,456,000",,"Jan 4, 2022","Jun 30, 2027",5,"£ 7,280,000",,D,RB,21,Reserve,Scotland,,,Everton,Premier League,2022-2023
19,Dwight McNeil,"£ 25,000","£ 1,300,000",,"Jul 28, 2022","Jun 30, 2027",5,"£ 6,500,000",,F,LW,23,Starter,England,,,Everton,Premier League,2022-2023
20,Rúben Vinagre,"£ 25,000","£ 1,300,000",,"Jul 27, 2022","Jun 30, 2023",1,"£ 1,300,000",,D,LB,23,Reserve,Portugal,,,Everton,Premier League,2022-2023
21,Tom Davies,"£ 25,000","£ 1,300,000",,"Apr 29, 2019","Jun 30, 2023",1,"£ 1,300,000",,M,CM,24,Reserve,England,,,Everton,Premier League,2022-2023
22,Demarai Gray,"£ 25,000","£ 1,300,000",,"Jul 22, 2021","Jun 30, 2024",2,"£ 2,600,000",,F,LW,26,Reserve,England,,,Everton,Premier League,2022-2023
23,Andy Lonergan,"£ 10,000","£ 520,000",,"Jul 11, 2022","Jun 30, 2023",1,"£ 520,000",,K,GK,39,Reserve,England,,,Everton,Premier League,2022-2023
24,Ellis Simms,"£ 7,000","£ 364,000",,"Jan 1, 2023","Jun 30, 2024",2,"£ 728,000",,F,CF,22,Reserve,England,,,Everton,Premier League,2022-2023
25,Total,"£ 1,568,000","£ 81,536,000","£ 1,040,000",,,,"£ 219,752,000",£ 0,,,,,,,,Everton,Premier League,2022-2023
