,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027May 31, 2023",Years Remaining 12345,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Bernd Leno,"£ 90,000","£ 4,680,000",,"Aug 2, 2022","Jun 30, 2025",3,"£ 14,040,000",,K,GK,30,Starter,Germany,,,Fulham,Premier League,2022-2023
1,Layvin Kurzawa,"£ 90,000","£ 4,680,000",,"Sep 1, 2022","Jun 30, 2023",1,"£ 4,680,000",,D,LB,30,Reserve,France,,,Fulham,Premier League,2022-2023
2,Aleksandar Mitrovic,"£ 80,000","£ 4,160,000","£ 1,560,000","Aug 27, 2021","Jun 30, 2026",4,"£ 16,640,000",,F,CF,28,Starter,Serbia,,,Fulham,Premier League,2022-2023
3,Cédric Soares,"£ 75,000","£ 3,900,000","£ 1,300,000","Jan 31, 2023","Jun 30, 2023",1,"£ 3,900,000",,D,RB,31,Reserve,Portugal,,,Fulham,Premier League,2022-2023
4,Issa Diop,"£ 70,000","£ 3,640,000",,"Aug 10, 2022","Jun 30, 2027",5,"£ 18,200,000",,D,CB,26,Starter,France,,,Fulham,Premier League,2022-2023
5,Sasa Lukic,"£ 63,000","£ 3,276,000",,"Jan 31, 2023","Jun 30, 2027",5,"£ 16,380,000",,M,CM,26,Reserve,Serbia,,,Fulham,Premier League,2022-2023
6,Kenny Tete,"£ 50,000","£ 2,600,000",,"Sep 10, 2020","Jun 30, 2024",2,"£ 5,200,000",,D,RB,27,Starter,Netherlands,,,Fulham,Premier League,2022-2023
7,Andreas Pereira,"£ 50,000","£ 2,600,000",,"Jul 11, 2022","Jun 30, 2026",4,"£ 10,400,000",,F,AM,27,Starter,Brazil,,,Fulham,Premier League,2022-2023
8,Daniel James,"£ 50,000","£ 2,600,000",,"Sep 1, 2022","May 31, 2023",1,"£ 2,600,000",,F,RW,25,Reserve,Wales,,,Fulham,Premier League,2022-2023
9,João Palhinha,"£ 50,000","£ 2,600,000",,"Jul 4, 2022","Jun 30, 2027",5,"£ 13,000,000",,M,DM,27,Starter,Portugal,,,Fulham,Premier League,2022-2023
10,Willian,"£ 40,000","£ 2,080,000",,"Sep 1, 2022","Jun 30, 2023",1,"£ 2,080,000",,F,LW,34,Starter,Brazil,,,Fulham,Premier League,2022-2023
11,Shane Duffy,"£ 40,000","£ 2,080,000",,"Aug 5, 2022","Jun 30, 2023",1,"£ 2,080,000",,D,CB,31,Reserve,Ireland,,,Fulham,Premier League,2022-2023
12,Carlos Vinícius,"£ 40,000","£ 2,080,000",,"Sep 1, 2022","Jun 30, 2025",3,"£ 6,240,000",,F,CF,27,Reserve,Brazil,,,Fulham,Premier League,2022-2023
13,Tosin Adarabioyo,"£ 40,000","£ 2,080,000",,"Oct 5, 2020","Jun 30, 2024",2,"£ 4,160,000",,D,CB,25,Reserve,England,,,Fulham,Premier League,2022-2023
14,Bobby Reid,"£ 35,000","£ 1,820,000",,"Jan 24, 2020","Jun 30, 2024",2,"£ 3,640,000",,F,AM,29,Starter,Jamaica,,,Fulham,Premier League,2022-2023
15,Harry Wilson,"£ 35,000","£ 1,820,000",,"Jul 24, 2021","Jun 30, 2026",4,"£ 7,280,000",,F,RW,25,Reserve,Wales,,,Fulham,Premier League,2022-2023
16,Harrison Reed,"£ 30,000","£ 1,560,000",,"Aug 30, 2020","Jun 30, 2024",2,"£ 3,120,000",,M,CM,28,Starter,England,,,Fulham,Premier League,2022-2023
17,Neeskens Kebano,"£ 30,000","£ 1,560,000",,"May 9, 2022","Jun 30, 2023",1,"£ 1,560,000",,F,LW,30,Reserve,Democratic Republic of the Congo,,,Fulham,Premier League,2022-2023
18,Tim Ream,"£ 30,000","£ 1,560,000",,"Dec 26, 2022","Jun 30, 2024",2,"£ 3,120,000",,D,CB,35,Starter,United States,,,Fulham,Premier League,2022-2023
19,Tom Cairney,"£ 30,000","£ 1,560,000",,"May 3, 2019","Jun 30, 2024",2,"£ 3,120,000",,M,CM,32,Reserve,Scotland,,,Fulham,Premier League,2022-2023
20,Antonee Robinson,"£ 25,000","£ 1,300,000",,"Aug 20, 2020","Jun 30, 2024",2,"£ 2,600,000",,D,LB,25,Starter,United States,,,Fulham,Premier League,2022-2023
21,Manor Solomon,"£ 20,000","£ 1,040,000",,"Jul 25, 2022","Jun 30, 2023",1,"£ 1,040,000",,F,LW,23,Reserve,Israel,,,Fulham,Premier League,2022-2023
22,Marek Rodak,"£ 15,000","£ 780,000",,"May 15, 2020","Jun 30, 2024",2,"£ 1,560,000",,K,GK,26,Reserve,Slovakia,,,Fulham,Premier League,2022-2023
23,Tyrese Francois,"£ 7,000","£ 364,000",,"Jul 1, 2021","Jun 30, 2024",2,"£ 728,000",,M,CM,22,Reserve,Australia,,,Fulham,Premier League,2022-2023
24,Total,"£ 1,085,000","£ 56,420,000","£ 2,860,000",,,,"£ 147,368,000",£ 0,,,,,,,,Fulham,Premier League,2022-2023
