,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRB,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Marco Benassi,"€ 46,346","€ 2,410,000",,"Jan 19, 2023","Jun 30, 2023",1,"€ 2,410,000",,M,CM,28,Starter,Italy,,,Cremonese,Serie A,2022-2023
1,Soualiho Meïté,"€ 39,231","€ 2,040,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 2,040,000",,M,CM,28,Starter,France,,,Cremonese,Serie A,2022-2023
2,Vlad Chiriches,"€ 23,077","€ 1,200,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 1,200,000",,D,CB,33,Starter,Romania,,,Cremonese,Serie A,2022-2023
3,Cyriel Dessers,"€ 20,962","€ 1,090,000",,"Aug 10, 2022","Jun 30, 2027",5,"€ 5,450,000",,F,CF,28,Starter,Nigeria,,,Cremonese,Serie A,2022-2023
4,David Okereke,"€ 19,808","€ 1,030,000",,"Jul 28, 2022","Jun 30, 2025",3,"€ 3,090,000",,F,CF,25,Starter,Nigeria,,,Cremonese,Serie A,2022-2023
5,Charles Pickel,"€ 19,808","€ 1,030,000",,"Jul 22, 2022","Jun 30, 2026",4,"€ 4,120,000",,M,DM,25,Starter,Switzerland,,,Cremonese,Serie A,2022-2023
6,Paolo Ghiglione,"€ 17,885","€ 930,000",,"Jul 17, 2022","Jun 30, 2025",3,"€ 2,790,000",,D,RB,25,Reserve,Italy,,,Cremonese,Serie A,2022-2023
7,Luka Lochoshvili,"€ 17,308","€ 900,000",,"Aug 10, 2022","Jun 30, 2023",1,"€ 900,000",,D,CB,24,Reserve,Georgia,,,Cremonese,Serie A,2022-2023
8,Daniel Ciofani,"€ 14,615","€ 760,000",,"Dec 27, 2021","Jun 30, 2023",1,"€ 760,000",,F,CF,37,Reserve,Italy,,,Cremonese,Serie A,2022-2023
9,Alex Ferrari,"€ 14,231","€ 740,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 740,000",,D,CB,28,Starter,Italy,,,Cremonese,Serie A,2022-2023
10,Cristian Buonaiuto,"€ 12,500","€ 650,000",,"Feb 8, 2022","Jun 30, 2024",2,"€ 1,300,000",,F,LW,30,Reserve,Italy,,,Cremonese,Serie A,2022-2023
11,Emanuel Aiwu,"€ 12,308","€ 640,000",,"Aug 5, 2022","Jun 30, 2026",4,"€ 2,560,000",,D,CB,22,Starter,Austria,,,Cremonese,Serie A,2022-2023
12,Matteo Bianchetti,"€ 11,731","€ 610,000",,"Mar 9, 2022","Jun 30, 2025",3,"€ 1,830,000",,D,CB,29,Reserve,Italy,,,Cremonese,Serie A,2022-2023
13,Pablo Galdames,"€ 8,654","€ 450,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 450,000",,M,DM,26,Reserve,Chile,,,Cremonese,Serie A,2022-2023
14,Michele Castagnetti,"€ 7,885","€ 410,000",,"Dec 26, 2021","Jun 30, 2024",2,"€ 820,000",,M,DM,33,Reserve,Italy,,,Cremonese,Serie A,2022-2023
15,Mouhamadou Sarr,"€ 7,115","€ 370,000",,"Aug 27, 2021","Jun 30, 2023",1,"€ 370,000",,K,GK,26,Reserve,Senegal,,,Cremonese,Serie A,2022-2023
16,Felix Afena-Gyan,"€ 7,115","€ 370,000",,"Aug 29, 2022","Jun 30, 2023",1,"€ 370,000",,F,CF,20,Reserve,Ghana,,,Cremonese,Serie A,2022-2023
17,Frank Tsadjout,"€ 7,115","€ 370,000",,"Jul 15, 2022","Jun 30, 2025",3,"€ 1,110,000",,F,CF,23,Reserve,Italy,,,Cremonese,Serie A,2022-2023
18,Leonardo Sernicola,"€ 5,962","€ 310,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 310,000",,D,RB,25,Starter,Italy,,,Cremonese,Serie A,2022-2023
19,Giacomo Quagliata,"€ 5,000","€ 260,000",,"Jul 26, 2022","Jun 30, 2026",4,"€ 1,040,000",,D,LB,22,Reserve,Italy,,,Cremonese,Serie A,2022-2023
20,Marco Carnesecchi,"€ 3,654","€ 190,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 190,000",,K,GK,22,Starter,Italy,,,Cremonese,Serie A,2022-2023
21,Gianluca Saro,"€ 2,885","€ 150,000",,"Aug 12, 2022","Jun 30, 2023",1,"€ 150,000",,K,GK,22,Reserve,Italy,,,Cremonese,Serie A,2022-2023
22,Emanuele Valeri,"€ 2,115","€ 110,000",,"Sep 10, 2020","Jun 30, 2023",1,"€ 110,000",,D,LB,24,Reserve,Italy,,,Cremonese,Serie A,2022-2023
23,Dorian Ciezkowski,"€ 1,346","€ 70,000",,"Jul 30, 2021","Jun 30, 2023",1,"€ 70,000",,K,GK,21,Reserve,Poland,,,Cremonese,Serie A,2022-2023
24,Christian Acella,"€ 1,154","€ 60,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 60,000",,M,CM,20,Reserve,Italy,,,Cremonese,Serie A,2022-2023
25,Johan Vásquez,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 50,000",,D,CB,24,Starter,Mexico,,,Cremonese,Serie A,2022-2023
26,Total,"€ 330,772","€ 17,200,000",€ 0,,,,"€ 34,290,000",€ 0,,,,,,,,Cremonese,Serie A,2022-2023
